OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101900120106.000000000000000,7,0.430994366243000
,101900120107.000000000000000,9,0.299595305062000
,101900120201.000000000000000,28,0.529404812659000
,101900120202.000000000000000,12,0.470969418143000
,101900120203.000000000000000,17,0.496523337875000
,101900120204.000000000000000,17,0.277272294718000
,101900120205.000000000000000,7,0.436057483461000
,101900120206.000000000000000,41,0.492234474655000
,101900120301.000000000000000,1,0.560695422582000
,101900120302.000000000000000,20,0.779099688495000
,101900120303.000000000000000,13,0.702518193525000
,101900120304.000000000000000,9,0.403351555909000
,101900120401.000000000000000,2,0.342088770541000
,101900120402.000000000000000,44,0.512210824179000
,101900120501.000000000000000,1,0.369513986919000
,101900120502.000000000000000,1,0.347799145668000
,101900120503.000000000000000,1,0.369513986919000
,101900120601.000000000000000,1,0.667612901774000
,101900120602.000000000000000,5,0.640009336952000
,101900120603.000000000000000,5,0.644376378456000
,101900120605.000000000000000,47,0.569770700344000
,101900120606.000000000000000,10,0.472303062153000
,101900120607.000000000000000,46,0.507509327015000
,101900120701.000000000000000,25,0.588223214764000
,101900120702.000000000000000,7,0.388046556310000
,101900120703.000000000000000,11,0.592336830447000
,101900120704.000000000000000,2,0.652215571514000
,101900120705.000000000000000,22,0.570594269261000
,101900120706.000000000000000,6,0.757341112728000
,101900120707.000000000000000,3,0.725441466225000
,101900120708.000000000000000,6,0.703415958075000
,101900120709.000000000000000,20,0.461018013102000
,101900120801.000000000000000,17,0.597200991029000
,101900120802.000000000000000,9,0.797239803230000
,101900120803.000000000000000,9,0.575035556370000
,101900120804.000000000000000,7,0.859342080568000
,101900120805.000000000000000,1,0.702463613143000
,101900120806.000000000000000,4,0.726291268148000
,101900120807.000000000000000,21,0.714998939813000
,101900120808.000000000000000,30,0.646148596141000
,101900120809.000000000000000,42,0.449790635631000
,101900120901.000000000000000,6,0.398195319384000
,101900120903.000000000000000,16,0.609201456460000
,101900120904.000000000000000,36,0.504781885151000
,101900120905.000000000000000,26,0.481343737139000
,101900121001.000000000000000,20,0.492026723213000
,101900121002.000000000000000,13,0.383469743439000
,101900121003.000000000000000,3,0.349122266490000
,101900121004.000000000000000,13,0.526356396992000
,101900121005.000000000000000,130,0.624506827041000
,101900121101.000000000000000,16,0.453791441137000
,101900121102.000000000000000,15,0.693302017650000
,101900121103.000000000000000,15,0.465475623778000
,101900121104.000000000000000,1,0.655106232208000
,101900121105.000000000000000,146,0.632019848778000
,101900121201.000000000000000,25,0.373666593869000
,101900121202.000000000000000,13,0.439788609343000
,101900121203.000000000000000,10,0.379098384845000
,101900121204.000000000000000,1,0.248476988862000
,101900121205.000000000000000,8,0.733565337720000
,101900121206.000000000000000,28,0.603230585221000
,101900121207.000000000000000,233,0.710948201908000
,101900121301.000000000000000,6,0.591641337596000
,101900121302.000000000000000,21,0.531312358122000
,101900121303.000000000000000,10,0.461907401757000
,101900121304.000000000000000,175,0.737105993756000
,101900130101.000000000000000,15,0.861775821245000
,101900130102.000000000000000,10,0.530159807016000
,101900130103.000000000000000,24,0.386007121183000
,101900130104.000000000000000,36,0.472030520006000
,101900130105.000000000000000,14,0.352543060874000
,101900130106.000000000000000,18,0.763620007959000
,101900130201.000000000000000,23,0.380294366495000
,101900130202.000000000000000,30,0.511690381455000
,101900130203.000000000000000,28,0.386826482886000
,101900130204.000000000000000,17,0.320751677272000
,101900130205.000000000000000,9,0.550302559175000
,101900130206.000000000000000,27,0.420487226226000
,101900130207.000000000000000,9,0.338975189706000
,101900130301.000000000000000,10,0.514763851730000
,101900130302.000000000000000,46,0.531255006727000
,101900130303.000000000000000,18,0.459251636734000
,101900130304.000000000000000,31,0.523868029809000
,101900130305.000000000000000,11,0.625825919084000
,101900130306.000000000000000,15,0.490622984189000
,101900130307.000000000000000,11,0.330715284921000
,101900130401.000000000000000,15,0.284786352447000
